response_id,tool_response_id,survey_id,ip_address,completed,started_at,last_action_at,completed_at,last_page,language_id,panelist_id,respondent_guid,weight,secondary_weight,device,panel,postal_code,year_of_birth,gender
7977,7,46698,68.184.108.112,1,04:36.0,09:45.0,09:45.0,44,21,281960623,969c0710-183b-1e4d-6e3b-30b73b1e86df,1,1,Desktop,,30566,1988,Female
7978,5,46698,50.29.181.152,1,04:29.0,17:11.0,17:11.0,44,21,104039359,c8aff95f-86e3-e101-5d74-ce8464034886,1,1,Desktop,,18326,1954,Female
7979,6,46698,107.242.125.24,1,04:35.0,12:02.0,12:02.0,44,21,118567830,606a2885-a162-30de-98ae-1f419762af5d,1,1,Mobile,,76114,1991,Female
7980,4,46698,96.246.211.164,1,04:21.0,08:41.0,08:41.0,44,21,108177370,74c4288a-add3-3e12-36a1-1fefd4f66253,1,1,Mobile,,11023,1993,Male
7981,8,46698,99.203.203.100,0,04:38.0,04:47.0,,3,21,461832833,87b6aa4a-cb31-b20c-4461-9d9d4fd1e58e,1,1,Mobile,,21206,1998,Male
7982,9,46698,75.133.75.42,1,04:38.0,12:57.0,12:57.0,44,21,75138270,ee9dbe92-eda6-a688-6fb9-89b6c8433349,1,1,Desktop,,49601,1982,Female
7983,10,46698,75.82.141.242,1,04:40.0,15:41.0,15:41.0,44,21,556713554,e1a75521-82f2-4d5b-550a-628cf7ea5ddf,1,1,Tablet,,91387,1967,Female
7984,11,46698,128.194.247.171,1,04:40.0,19:55.0,19:55.0,44,21,110499027,ef74017b-3868-1934-8650-365f2c6c36a2,1,1,Desktop,,77802,1961,Male
7985,12,46698,172.58.84.157,1,04:43.0,19:36.0,19:36.0,44,21,111422284,2828c11c-7683-d96c-da37-f603d49358c5,1,1,Desktop,,72703,1950,Male
7986,13,46698,24.129.126.146,1,04:44.0,36:46.0,36:46.0,44,21,193526962,d01f665d-5cf6-7f0a-ed76-51346be34389,1,1,Desktop,,32218,1961,Male
7987,14,46698,174.192.73.8,0,04:44.0,12:49.0,,21,21,310450519,aad1c424-aab0-dc09-230f-f3faf7a484e9,1,1,Mobile,,53403,1982,Female
7988,15,46698,24.1.171.90,1,04:45.0,20:40.0,20:40.0,44,21,110534397,7cdb8f6c-9671-9771-2947-b8f0156899b5,1,1,Tablet,,60061,1962,Male
7989,16,46698,107.137.225.76,1,04:46.0,19:54.0,19:54.0,44,21,397656742,579d3cc8-33e6-25a5-6fe3-0bb6ea87fa00,1,1,Desktop,,32216,1950,Female
7990,17,46698,47.32.159.49,1,04:47.0,30:52.0,30:52.0,44,21,511710773,5e0d2c90-775a-3583-ffbb-1b2621435951,1,1,Mobile,,93401,1981,Female
7991,18,46698,73.237.153.131,1,04:48.0,08:42.0,08:42.0,44,21,262788006,fb4fd55f-ef7c-cc55-bd74-e2647d7f328f,1,1,Desktop,,30213,1986,Female
7992,19,46698,166.216.158.152,0,04:52.0,07:10.0,,15,21,110503776,e951ba03-1dff-a301-a328-8d7ae7e413da,1,1,Mobile,,95366,1963,Male
7993,20,46698,75.188.40.144,1,04:56.0,16:50.0,16:50.0,44,21,227338733,3fda1950-9d9b-0024-287b-2ef139898282,1,1,Desktop,,43016,1955,Female
7994,21,46698,73.167.189.237,1,05:00.0,14:31.0,14:31.0,44,21,144257028,0e500918-0345-1002-a233-3e7b98401dcf,1,1,Desktop,,5495,1958,Female
7995,22,46698,174.196.147.164,1,05:04.0,14:08.0,14:08.0,44,21,114265022,fee0184d-6afa-0034-1266-2fcb77eafb94,1,1,Mobile,,20613,1951,Female
7996,23,46698,69.126.209.132,1,05:05.0,15:00.0,15:00.0,44,21,563950297,e7c90ea5-9e46-10d6-3b8e-39e2f845805b,1,1,Desktop,,11783,1991,Female
7997,24,46698,66.168.41.108,1,05:06.0,16:28.0,16:28.0,44,21,108118386,9f95c7ad-fd1d-d9e9-6786-f0be5b7f3074,1,1,Desktop,,1028,1978,Male
7998,25,46698,73.10.200.245,1,05:08.0,14:29.0,14:29.0,44,21,123581363,1563f03c-7727-eed0-9117-c7480b3aeae4,1,1,Desktop,,7052,1957,Female
7999,26,46698,151.200.32.219,0,05:08.0,07:22.0,,19,21,551942102,a4f2cbbc-6e58-d582-0097-fcd9ee45c343,1,1,Tablet,,20706,2001,Female
8000,27,46698,98.235.163.190,1,05:11.0,15:19.0,15:19.0,44,21,243316354,9562fdeb-1929-e31b-90c0-ca49ed32363a,1,1,Mobile,,16828,1987,Female
8001,28,46698,99.203.101.65,1,05:11.0,23:40.0,23:40.0,44,21,110970051,acd9a434-8e83-ba67-2b1f-93f2739990ed,1,1,Mobile,,32832,1962,Female
8002,29,46698,174.59.173.202,1,05:13.0,15:36.0,15:36.0,44,21,110454203,6a5c81b7-1384-9f2f-ae9c-b677889d1d6e,1,1,Tablet,,18510,1954,Female
8003,30,46698,68.75.245.226,1,05:13.0,22:16.0,22:16.0,44,21,110487673,e16ae38e-2661-fd66-98a5-d44173722b57,1,1,Desktop,,55446,1956,Male
8004,31,46698,73.36.18.178,0,05:15.0,06:36.0,,13,21,110748444,c66dc832-3d70-d6d2-9f19-ff46aa5220eb,1,1,Desktop,,60031,1953,Female
8005,32,46698,159.41.8.2,1,05:16.0,15:02.0,15:02.0,44,21,110713753,254ac9b5-19f9-d7b4-b89e-fe61a8eb076c,1,1,Desktop,,49106,1959,Female
8006,33,46698,74.209.44.96,1,05:20.0,16:37.0,16:37.0,44,21,110920551,cc600a99-37ed-146d-92b2-3d4b7af02840,1,1,Desktop,,4739,1954,Female
