question_id;parent_id;survey_id;question_group_id;sequence_parent_id;type;title;mandatory;sort_order;is_column;updated_at
1698415;0;58513;173032;;Short free text;RID;0;2;0;2020-06-17 10:24
1698416;0;58513;173032;;Numerical input;Weight;1;3;0;2020-06-17 10:24
1698417;0;58513;173032;;Numerical input;Weight2;1;4;0;2020-06-17 10:24
1698418;0;58513;173032;;Yes/No;Mobile device;1;5;0;2020-06-17 10:24
1698419;0;58513;173032;;Yes/No;Tablet device;1;6;0;2020-06-17 10:24
1698420;0;58513;173032;;Short free text;DemR;0;1;0;2020-06-17 10:24
1698421;0;58513;173032;;Short free text;DemP;0;0;0;2020-06-17 10:24
1698422;0;58513;173033;;Short free text;DemPC;0;7;0;2020-06-17 10:24
1698423;0;58513;173033;;Radio list;IAGEGROUPSET5;0;6;0;2020-06-17 10:24
1698424;0;58513;173033;;Radio list;IAGEGROUPSET4;0;5;0;2020-06-17 10:24
1698425;0;58513;173033;;Radio list;IAGEGROUPSET3;0;4;0;2020-06-17 10:24
1698426;0;58513;173033;;Radio list;IAGEGROUPSET2;0;3;0;2020-06-17 10:24
1698427;0;58513;173033;;Radio list;IAGEGROUPSET1;0;2;0;2020-06-17 10:24
1698428;0;58513;173033;;Numerical input;IBIRTHYEAR;0;1;0;2020-06-17 10:24
1698429;0;58513;173033;;Radio list;SGENDER;0;0;0;2020-06-17 10:24
1698430;0;58513;173034;;Radio list;DEM1;1;1;0;2020-06-17 10:24
1698431;0;58513;173035;;Radio list;DEM2;1;1;0;2020-06-17 10:24
1698432;0;58513;173036;;Radio list;DEM3;1;1;0;2020-06-17 10:24
1698433;0;58513;173037;;Radio list;DEM5;1;1;0;2020-06-17 10:24
1698434;0;58513;173038;;Radio list;DEM4;1;1;0;2020-06-17 10:24
1698435;0;58513;173039;;Text display;QUALITY_SO_2;0;1;0;2020-06-17 10:24
1698436;0;58513;173040;;Multiple choices;CONTROL;1;1;0;2020-06-17 10:24
1698437;0;58513;173041;;Text display;SO_CONTROL;0;1;0;2020-06-17 10:24
1698438;0;58513;173042;;Dropdown list;CONTROL2;1;1;0;2020-06-17 10:24
1698439;0;58513;173043;;Multiple choices;T1;1;0;0;2020-06-17 10:24
1698440;0;58513;173044;;Text display;TEXT1;0;0;0;2020-06-17 10:24
1698441;0;58513;173045;;Text display;TEXT2;0;0;0;2020-06-17 10:24
1698442;0;58513;173046;;Matrix (custom);T2;1;0;0;2020-06-17 10:24
1698443;0;58513;173047;;Matrix (custom);T3;1;0;0;2020-06-17 10:24
1698444;0;58513;173048;;Radio list;T4;1;0;0;2020-06-17 10:24
1698445;0;58513;173049;;Radio list;T5;1;0;0;2020-06-17 10:24
1698446;0;58513;173050;;Radio list;T6;1;0;0;2020-06-17 10:24
1698447;0;58513;173051;;Text display;TEXT3;0;0;0;2020-06-17 10:24
1698448;0;58513;173052;;Matrix (custom);T7;1;0;0;2020-06-17 10:24
1698449;0;58513;173053;;Matrix (custom);T8;1;0;0;2020-06-17 10:24
1698450;0;58513;173054;;Text display;TEXT4;0;0;0;2020-06-17 10:24
1698451;0;58513;173055;;Multiple choices;T9;1;0;0;2020-06-17 10:24
1698452;0;58513;173056;;Radio list;T10;1;0;0;2020-06-17 10:24
1698453;0;58513;173057;;Radio list;T11;1;0;0;2020-06-17 10:24
1698454;0;58513;173058;;Multiple choices;FILTER_T8;0;0;0;2020-06-17 10:24
1698455;1698436;58513;173040;;Long free text;1;0;1;0;2020-06-17 10:24
1698456;1698436;58513;173040;;Long free text;2;0;2;0;2020-06-17 10:24
1698457;1698436;58513;173040;;Long free text;3;0;3;0;2020-06-17 10:24
1698458;1698436;58513;173040;;Long free text;4;0;4;0;2020-06-17 10:24
1698459;1698436;58513;173040;;Long free text;5;0;5;0;2020-06-17 10:24
1698460;1698436;58513;173040;;Long free text;6;0;6;0;2020-06-17 10:24
1698461;1698436;58513;173040;;Long free text;7;0;7;0;2020-06-17 10:24
1698462;1698436;58513;173040;;Long free text;8;0;8;0;2020-06-17 10:24
1698463;1698436;58513;173040;;Long free text;9;0;9;0;2020-06-17 10:24
1698464;1698436;58513;173040;;Long free text;10;0;10;0;2020-06-17 10:24
1698465;1698436;58513;173040;;Long free text;11;0;11;0;2020-06-17 10:24
1698466;1698436;58513;173040;;Long free text;12;0;12;0;2020-06-17 10:24
1698467;1698436;58513;173040;;Long free text;13;0;13;0;2020-06-17 10:24
1698468;1698436;58513;173040;;Long free text;14;0;14;0;2020-06-17 10:24
1698469;1698436;58513;173040;;Long free text;15;0;15;0;2020-06-17 10:24
1698470;1698436;58513;173040;;Long free text;16;0;16;0;2020-06-17 10:24
1698471;1698436;58513;173040;;Long free text;17;0;17;0;2020-06-17 10:24
1698472;1698439;58513;173043;;Long free text;1;0;1;0;2020-06-17 10:24
1698473;1698439;58513;173043;;Long free text;2;0;2;0;2020-06-17 10:24
1698474;1698439;58513;173043;;Long free text;3;0;3;0;2020-06-17 10:24
1698475;1698439;58513;173043;;Long free text;4;0;4;0;2020-06-17 10:24
1698476;1698439;58513;173043;;Long free text;5;0;5;0;2020-06-17 10:24
1698477;1698439;58513;173043;;Long free text;6;0;6;0;2020-06-17 10:24
1698478;1698439;58513;173043;;Long free text;7;0;7;0;2020-06-17 10:24
1698479;1698439;58513;173043;;Long free text;8;0;8;0;2020-06-17 10:24
1698480;1698439;58513;173043;;Long free text;9;0;9;0;2020-06-17 10:24
1698481;1698439;58513;173043;;Long free text;10;0;10;0;2020-06-17 10:24
1698482;1698439;58513;173043;;Long free text;11;0;11;0;2020-06-17 10:24
1698483;1698439;58513;173043;;Long free text;12;0;12;0;2020-06-17 10:24
1698484;1698439;58513;173043;;Long free text;13;0;13;0;2020-06-17 10:24
1698485;1698439;58513;173043;;Long free text;14;0;14;0;2020-06-17 10:24
1698486;1698439;58513;173043;;Long free text;15;0;15;0;2020-06-17 10:24
1698487;1698439;58513;173043;;Long free text;16;0;16;0;2020-06-17 10:24
1698488;1698439;58513;173043;;Long free text;17;0;17;0;2020-06-17 10:24
1698489;1698439;58513;173043;;Long free text;18;0;18;0;2020-06-17 10:24
1698490;1698439;58513;173043;;Long free text;19;0;19;0;2020-06-17 10:24
1698491;1698442;58513;173046;;Long free text;1;0;1;0;2020-06-17 10:24
1698492;1698442;58513;173046;;Long free text;2;0;2;0;2020-06-17 10:24
1698493;1698442;58513;173046;;Long free text;3;0;3;0;2020-06-17 10:24
1698494;1698442;58513;173046;;Long free text;4;0;4;0;2020-06-17 10:24
1698495;1698442;58513;173046;;Long free text;5;0;5;0;2020-06-17 10:24
1698496;1698442;58513;173046;;Long free text;6;0;6;0;2020-06-17 10:24
1698497;1698442;58513;173046;;Long free text;7;0;7;0;2020-06-17 10:24
1698498;1698442;58513;173046;;Long free text;8;0;8;0;2020-06-17 10:24
1698499;1698442;58513;173046;;Long free text;9;0;9;0;2020-06-17 10:24
1698500;1698442;58513;173046;;Long free text;10;0;10;0;2020-06-17 10:24
1698501;1698442;58513;173046;;Long free text;11;0;11;0;2020-06-17 10:24
1698502;1698442;58513;173046;;Long free text;12;0;12;0;2020-06-17 10:24
1698503;1698443;58513;173047;;Long free text;1;0;1;0;2020-06-17 10:24
1698504;1698443;58513;173047;;Long free text;2;0;2;0;2020-06-17 10:24
1698505;1698443;58513;173047;;Long free text;3;0;3;0;2020-06-17 10:24
1698506;1698443;58513;173047;;Long free text;4;0;4;0;2020-06-17 10:24
1698507;1698443;58513;173047;;Long free text;5;0;5;0;2020-06-17 10:24
1698508;1698443;58513;173047;;Long free text;6;0;6;0;2020-06-17 10:24
1698509;1698443;58513;173047;;Long free text;7;0;7;0;2020-06-17 10:24
1698510;1698443;58513;173047;;Long free text;8;0;8;0;2020-06-17 10:24
1698511;1698443;58513;173047;;Long free text;9;0;9;0;2020-06-17 10:24
1698512;1698443;58513;173047;;Long free text;10;0;10;0;2020-06-17 10:24
1698513;1698451;58513;173055;;Long free text;1;0;1;0;2020-06-17 10:24
1698514;1698451;58513;173055;;Long free text;2;0;2;0;2020-06-17 10:24
1698515;1698451;58513;173055;;Long free text;3;0;3;0;2020-06-17 10:24
1698516;1698451;58513;173055;;Long free text;4;0;4;0;2020-06-17 10:24
1698517;1698451;58513;173055;;Long free text;5;0;5;0;2020-06-17 10:24
1698518;1698451;58513;173055;;Long free text;6;0;6;0;2020-06-17 10:24
1698519;1698451;58513;173055;;Long free text;7;0;7;0;2020-06-17 10:24
1698520;1698451;58513;173055;;Long free text;8;0;8;0;2020-06-17 10:24
1698521;1698451;58513;173055;;Long free text;9;0;9;0;2020-06-17 10:24
1698522;1698451;58513;173055;;Long free text;10;0;10;0;2020-06-17 10:24
1698523;1698451;58513;173055;;Long free text;11;0;11;0;2020-06-17 10:24
1698692;0;77941;173059;;Short free text;RID;0;2;0;2020-06-17 10:24
1698693;0;77941;173059;;Numerical input;Weight;1;3;0;2020-06-17 10:24
1698694;0;77941;173059;;Numerical input;Weight2;1;4;0;2020-06-17 10:24
1698695;0;77941;173059;;Yes/No;Mobile device;1;5;0;2020-06-17 10:24
1698696;0;77941;173059;;Yes/No;Tablet device;1;6;0;2020-06-17 10:24
1698697;0;77941;173059;;Short free text;DemR;0;1;0;2020-06-17 10:24
1698698;0;77941;173059;;Short free text;DemP;0;0;0;2020-06-17 10:24
