"id","survey_id","sort_order","updated_at"
173032,58513,0,"2020-06-17 10:24:07.0"
173033,58513,1,"2020-06-17 10:24:07.0"
173034,58513,5,"2020-06-17 10:24:08.0"
173035,58513,6,"2020-06-17 10:24:08.0"
173036,58513,8,"2020-06-17 10:24:08.0"
173037,58513,10,"2020-06-17 10:24:08.0"
173038,58513,9,"2020-06-17 10:24:08.0"
173039,58513,7,"2020-06-17 10:24:08.0"
173040,58513,2,"2020-06-17 10:24:07.0"
173041,58513,3,"2020-06-17 10:24:07.0"
173042,58513,4,"2020-06-17 10:24:08.0"
173043,58513,11,"2020-06-17 10:24:08.0"
173044,58513,12,"2020-06-17 10:24:08.0"
173045,58513,14,"2020-06-17 10:24:08.0"
173046,58513,13,"2020-06-17 10:24:08.0"
173047,58513,15,"2020-06-17 10:24:08.0"
173048,58513,16,"2020-06-17 10:24:08.0"
173049,58513,17,"2020-06-17 10:24:08.0"
173050,58513,18,"2020-06-17 10:24:08.0"
173051,58513,19,"2020-06-17 10:24:08.0"
173052,58513,20,"2020-06-17 10:24:08.0"
173053,58513,22,"2020-06-17 10:24:08.0"
173054,58513,23,"2020-06-17 10:24:08.0"
173055,58513,24,"2020-06-17 10:24:08.0"
173056,58513,25,"2020-06-17 10:24:08.0"
173057,58513,26,"2020-06-17 10:24:08.0"
173058,58513,21,"2020-06-17 10:24:08.0"
173059,77941,0,"2020-06-17 10:24:10.0"
173060,77941,1,"2020-06-17 10:24:10.0"
173061,77941,5,"2020-06-17 10:24:10.0"
173062,77941,6,"2020-06-17 10:24:10.0"
173063,77941,8,"2020-06-17 10:24:10.0"
173064,77941,9,"2020-06-17 10:24:10.0"
173065,77941,10,"2020-06-17 10:24:10.0"
173066,77941,7,"2020-06-17 10:24:10.0"
173067,77941,2,"2020-06-17 10:24:10.0"
173068,77941,3,"2020-06-17 10:24:10.0"
173069,77941,4,"2020-06-17 10:24:10.0"
173070,77941,11,"2020-06-17 10:24:10.0"
173071,77941,12,"2020-06-17 10:24:10.0"
173072,77941,14,"2020-06-17 10:24:10.0"
173073,77941,13,"2020-06-17 10:24:10.0"
173074,77941,15,"2020-06-17 10:24:10.0"
173075,77941,16,"2020-06-17 10:24:10.0"
173076,77941,17,"2020-06-17 10:24:10.0"
173077,77941,18,"2020-06-17 10:24:10.0"
173078,77941,19,"2020-06-17 10:24:10.0"
173079,77941,20,"2020-06-17 10:24:10.0"
173080,77941,22,"2020-06-17 10:24:10.0"
173081,77941,23,"2020-06-17 10:24:10.0"
173082,77941,24,"2020-06-17 10:24:10.0"
173083,77941,25,"2020-06-17 10:24:10.0"
173084,77941,26,"2020-06-17 10:24:10.0"
173085,77941,21,"2020-06-17 10:24:10.0"
173086,78577,2,"2020-06-17 10:24:14.0"
173087,78577,0,"2020-06-17 10:24:14.0"
173088,78577,5,"2020-06-17 10:24:14.0"
173089,78577,6,"2020-06-17 10:24:14.0"
173090,78577,8,"2020-06-17 10:24:14.0"
173091,78577,10,"2020-06-17 10:24:14.0"
173092,78577,9,"2020-06-17 10:24:14.0"
173093,78577,7,"2020-06-17 10:24:14.0"
173094,78577,1,"2020-06-17 10:24:14.0"
173095,78577,3,"2020-06-17 10:24:14.0"
173096,78577,4,"2020-06-17 10:24:14.0"
173097,78577,11,"2020-06-17 10:24:14.0"
173098,78577,12,"2020-06-17 10:24:14.0"
173099,78577,14,"2020-06-17 10:24:14.0"
173100,78577,13,"2020-06-17 10:24:14.0"
173101,78577,15,"2020-06-17 10:24:14.0"
173102,78577,16,"2020-06-17 10:24:14.0"
173103,78577,17,"2020-06-17 10:24:14.0"
173104,78577,18,"2020-06-17 10:24:14.0"
173105,78577,19,"2020-06-17 10:24:14.0"
173106,78577,20,"2020-06-17 10:24:14.0"
173107,78577,22,"2020-06-17 10:24:14.0"
173108,78577,23,"2020-06-17 10:24:14.0"
173109,78577,24,"2020-06-17 10:24:14.0"
173110,78577,25,"2020-06-17 10:24:14.0"
173111,78577,26,"2020-06-17 10:24:14.0"
173112,78577,21,"2020-06-17 10:24:14.0"
173113,13717,2,"2020-06-17 10:24:16.0"
173114,13717,0,"2020-06-17 10:24:16.0"
173115,13717,5,"2020-06-17 10:24:16.0"
173116,13717,6,"2020-06-17 10:24:16.0"
173117,13717,8,"2020-06-17 10:24:16.0"
173118,13717,10,"2020-06-17 10:24:16.0"
173119,13717,9,"2020-06-17 10:24:16.0"
173120,13717,7,"2020-06-17 10:24:16.0"
173121,13717,1,"2020-06-17 10:24:16.0"
173122,13717,3,"2020-06-17 10:24:16.0"
173123,13717,4,"2020-06-17 10:24:16.0"
173124,13717,11,"2020-06-17 10:24:16.0"
173125,13717,12,"2020-06-17 10:24:16.0"
173126,13717,14,"2020-06-17 10:24:17.0"
173127,13717,13,"2020-06-17 10:24:17.0"
173128,13717,15,"2020-06-17 10:24:17.0"
173129,13717,16,"2020-06-17 10:24:17.0"
173130,13717,17,"2020-06-17 10:24:17.0"
173131,13717,18,"2020-06-17 10:24:17.0"
173132,13717,19,"2020-06-17 10:24:17.0"
173133,13717,20,"2020-06-17 10:24:17.0"
173134,13717,22,"2020-06-17 10:24:17.0"
173135,13717,23,"2020-06-17 10:24:17.0"
173136,13717,24,"2020-06-17 10:24:17.0"
173137,13717,25,"2020-06-17 10:24:17.0"
173138,13717,26,"2020-06-17 10:24:17.0"
173139,13717,21,"2020-06-17 10:24:17.0"
173223,67338,2,"2020-06-17 10:23:19.0"
173224,67338,0,"2020-06-17 10:23:18.0"
173225,67338,5,"2020-06-17 10:23:19.0"
173226,67338,6,"2020-06-17 10:23:19.0"
173227,67338,8,"2020-06-17 10:23:19.0"
173228,67338,10,"2020-06-17 10:23:19.0"
173229,67338,9,"2020-06-17 10:23:19.0"
173230,67338,7,"2020-06-17 10:23:19.0"
173231,67338,1,"2020-06-17 10:23:18.0"
173232,67338,3,"2020-06-17 10:23:19.0"
173233,67338,4,"2020-06-17 10:23:19.0"
173234,67338,11,"2020-06-17 10:23:19.0"
173235,67338,12,"2020-06-17 10:23:19.0"
173236,67338,14,"2020-06-17 10:23:19.0"
173237,67338,13,"2020-06-17 10:23:19.0"
173238,67338,15,"2020-06-17 10:23:19.0"
173239,67338,16,"2020-06-17 10:23:19.0"
173240,67338,17,"2020-06-17 10:23:19.0"
173241,67338,18,"2020-06-17 10:23:19.0"
173242,67338,19,"2020-06-17 10:23:19.0"
173243,67338,20,"2020-06-17 10:23:19.0"
173244,67338,22,"2020-06-17 10:23:19.0"
173245,67338,23,"2020-06-17 10:23:19.0"
173246,67338,24,"2020-06-17 10:23:19.0"
173247,67338,25,"2020-06-17 10:23:19.0"
173248,67338,26,"2020-06-17 10:23:19.0"
173249,67338,21,"2020-06-17 10:23:19.0"
173250,55815,0,"2020-06-17 10:23:21.0"
173251,55815,1,"2020-06-17 10:23:21.0"
173252,55815,5,"2020-06-17 10:23:21.0"
173253,55815,6,"2020-06-17 10:23:21.0"
173254,55815,8,"2020-06-17 10:23:21.0"
173255,55815,10,"2020-06-17 10:23:21.0"
173256,55815,9,"2020-06-17 10:23:21.0"
173257,55815,7,"2020-06-17 10:23:21.0"
173258,55815,2,"2020-06-17 10:23:21.0"
173259,55815,3,"2020-06-17 10:23:21.0"
173260,55815,4,"2020-06-17 10:23:21.0"
173261,55815,11,"2020-06-17 10:23:21.0"
173262,55815,12,"2020-06-17 10:23:21.0"
173263,55815,14,"2020-06-17 10:23:21.0"
173264,55815,13,"2020-06-17 10:23:21.0"
173265,55815,15,"2020-06-17 10:23:21.0"
173266,55815,16,"2020-06-17 10:23:21.0"
173267,55815,17,"2020-06-17 10:23:21.0"
173268,55815,18,"2020-06-17 10:23:21.0"
173269,55815,19,"2020-06-17 10:23:21.0"
173270,55815,20,"2020-06-17 10:23:21.0"
173271,55815,22,"2020-06-17 10:23:21.0"
173272,55815,23,"2020-06-17 10:23:21.0"
173273,55815,24,"2020-06-17 10:23:21.0"
173274,55815,25,"2020-06-17 10:23:21.0"
173275,55815,26,"2020-06-17 10:23:21.0"
173276,55815,21,"2020-06-17 10:23:21.0"
173304,92859,0,"2020-06-17 10:23:23.0"
173305,92859,1,"2020-06-17 10:23:23.0"
173306,92859,5,"2020-06-17 10:23:23.0"
173307,92859,6,"2020-06-17 10:23:23.0"
173308,92859,8,"2020-06-17 10:23:23.0"
173309,92859,10,"2020-06-17 10:23:23.0"
173310,92859,9,"2020-06-17 10:23:23.0"
173311,92859,7,"2020-06-17 10:23:23.0"
173312,92859,2,"2020-06-17 10:23:23.0"
173313,92859,3,"2020-06-17 10:23:23.0"
173314,92859,4,"2020-06-17 10:23:23.0"
173315,92859,11,"2020-06-17 10:23:23.0"
173316,92859,12,"2020-06-17 10:23:23.0"
173317,92859,14,"2020-06-17 10:23:23.0"
173318,92859,13,"2020-06-17 10:23:23.0"
173319,92859,15,"2020-06-17 10:23:23.0"
173320,92859,16,"2020-06-17 10:23:23.0"
173321,92859,17,"2020-06-17 10:23:23.0"
173322,92859,18,"2020-06-17 10:23:23.0"
173323,92859,19,"2020-06-17 10:23:23.0"
173324,92859,20,"2020-06-17 10:23:23.0"
173325,92859,22,"2020-06-17 10:23:23.0"
173326,92859,23,"2020-06-17 10:23:23.0"
173327,92859,24,"2020-06-17 10:23:23.0"
173328,92859,25,"2020-06-17 10:23:23.0"
173329,92859,26,"2020-06-17 10:23:23.0"
173330,92859,21,"2020-06-17 10:23:23.0"
173331,46887,0,"2020-06-17 10:23:27.0"
173332,46887,1,"2020-06-17 10:23:27.0"
173333,46887,5,"2020-06-17 10:23:27.0"
173334,46887,6,"2020-06-17 10:23:27.0"
173335,46887,8,"2020-06-17 10:23:27.0"
173336,46887,10,"2020-06-17 10:23:27.0"
173337,46887,9,"2020-06-17 10:23:27.0"
173338,46887,7,"2020-06-17 10:23:27.0"
173339,46887,2,"2020-06-17 10:23:27.0"
173340,46887,3,"2020-06-17 10:23:27.0"
173341,46887,4,"2020-06-17 10:23:27.0"
173342,46887,11,"2020-06-17 10:23:27.0"
173343,46887,12,"2020-06-17 10:23:27.0"
173344,46887,14,"2020-06-17 10:23:27.0"
173345,46887,13,"2020-06-17 10:23:27.0"
173346,46887,15,"2020-06-17 10:23:27.0"
173347,46887,16,"2020-06-17 10:23:27.0"
173348,46887,17,"2020-06-17 10:23:27.0"
173349,46887,18,"2020-06-17 10:23:27.0"
173350,46887,19,"2020-06-17 10:23:27.0"
173351,46887,20,"2020-06-17 10:23:27.0"
173352,46887,22,"2020-06-17 10:23:27.0"
173353,46887,23,"2020-06-17 10:23:27.0"
173354,46887,24,"2020-06-17 10:23:27.0"
173355,46887,25,"2020-06-17 10:23:27.0"
173356,46887,26,"2020-06-17 10:23:27.0"
173357,46887,21,"2020-06-17 10:23:27.0"
173398,73559,0,"2020-06-17 10:23:30.0"
173399,73559,1,"2020-06-17 10:23:30.0"
173400,73559,5,"2020-06-17 10:23:30.0"
173401,73559,6,"2020-06-17 10:23:30.0"
173402,73559,8,"2020-06-17 10:23:30.0"
173403,73559,10,"2020-06-17 10:23:31.0"
173404,73559,9,"2020-06-17 10:23:31.0"
173405,73559,7,"2020-06-17 10:23:30.0"
173406,73559,2,"2020-06-17 10:23:30.0"
173407,73559,3,"2020-06-17 10:23:30.0"
173408,73559,4,"2020-06-17 10:23:30.0"
173409,73559,11,"2020-06-17 10:23:31.0"
173410,73559,12,"2020-06-17 10:23:31.0"
173411,73559,14,"2020-06-17 10:23:31.0"
173412,73559,13,"2020-06-17 10:23:31.0"
173413,73559,15,"2020-06-17 10:23:31.0"
173414,73559,16,"2020-06-17 10:23:31.0"
173415,73559,17,"2020-06-17 10:23:31.0"
173416,73559,18,"2020-06-17 10:23:31.0"
