"question_group_id","language_id","name","default"
173032,19,RID Group,1
173033,19,Additional demographics,1
173034,19,DEM1,1
173035,19,DEM2,1
173036,19,DEM3,1
173037,19,DEM5,1
173038,19,DEM4,1
173039,19,QUALITY_SO_2_page,1
173040,19,CONTROL_page,1
173041,19,SO_CONTROL_page,1
173042,19,CONTROL2_page,1
173043,19,T1_page,1
173044,19,TEXT1_page,1
173045,19,TEXT2_page,1
173046,19,T2_page,1
173047,19,T3_page,1
173048,19,T4_page,1
173049,19,T5_page,1
173050,19,T6_page,1
173051,19,TEXT3_page,1
173052,19,T7_page,1
173053,19,T8_page,1
173054,19,TEXT4_page,1
173055,19,T9_page,1
173056,19,T10_page,1
173057,19,T11_page,1
173058,19,FILTER_page,1
173059,57,RID Group,1
173060,57,Additional demographics,1
173061,57,DEM1,1
173062,57,DEM2,1
173063,57,DEM3,1
173064,57,DEM4,1
173065,57,DEM5,1
173066,57,QUALITY_SO_2_page,1
173067,57,CONTROL_page,1
173068,57,SO_CONTROL_page,1
173069,57,CONTROL2_page,1
173070,57,T1_page,1
173071,57,TEXT1_page,1
173072,57,TEXT2_page,1
173073,57,T2_page,1
173074,57,T3_page,1
173075,57,T4_page,1
173076,57,T5_page,1
173077,57,T6_page,1
173078,57,TEXT3_page,1
173079,57,T7_page,1
173080,57,T8_page,1
173081,57,TEXT4_page,1
173082,57,T9_page,1
173083,57,T10_page,1
173084,57,T11_page,1
173085,57,FILTER_page,1
173086,66,RID Group,1
173087,66,Additional demographics,1
173088,66,DEM1,1
173089,66,DEM2,1
173090,66,DEM3,1
173091,66,DEM5,1
173092,66,DEM4,1
173093,66,QUALITY_SO_2_page,1
173094,66,CONTROL_page,1
173095,66,SO_CONTROL_page,1
173096,66,CONTROL2_page,1
173097,66,T1_page,1
173098,66,TEXT1_page,1
173099,66,TEXT2_page,1
173100,66,T2_page,1
173101,66,T3_page,1
173102,66,T4_page,1
173103,66,T5_page,1
173104,66,T6_page,1
173105,66,TEXT3_page,1
173106,66,T7_page,1
173107,66,T8_page,1
173108,66,TEXT4_page,1
173109,66,T9_page,1
173110,66,T10_page,1
173111,66,T11_page,1
173112,66,FILTER,1
173113,66,RID Group,1
173114,66,Additional demographics,1
173115,66,DEM1,1
173116,66,DEM2,1
173117,66,DEM3,1
173118,66,DEM5,1
173119,66,DEM4,1
173120,66,QUALITY_SO_2_page,1
173121,66,CONTROL_page,1
173122,66,SO_CONTROL_page,1
173123,66,CONTROL2_page,1
173124,66,T1_page,1
173125,66,TEXT1_page,1
173126,66,TEXT2_page,1
173127,66,T2_page,1
173128,66,T3_page,1
173129,66,T4_page,1
173130,66,T5_page,1
173131,66,T6_page,1
173132,66,TEXT3_page,1
173133,66,T7_page,1
173134,66,T8_page,1
173135,66,TEXT4_page,1
173136,66,T9_page,1
173137,66,T10_page,1
173138,66,T11_page,1
173139,66,FILTER,1
173223,66,RID Group,1
173224,66,Additional demographics,1
173225,66,DEM1,1
173226,66,DEM2,1
173227,66,DEM3,1
173228,66,DEM5,1
173229,66,DEM4,1
173230,66,QUALITY_SO_2_page,1
173231,66,CONTROL_page,1
173232,66,SO_CONTROL_page,1
173233,66,CONTROL2_page,1
173234,66,T1_page,1
173235,66,TEXT1_page,1
173236,66,TEXT2_page,1
173237,66,T2_page,1
173238,66,T3_page,1
173239,66,T4_page,1
173240,66,T5_page,1
173241,66,T6_page,1
173242,66,TEXT3_page,1
173243,66,T7_page,1
173244,66,T8_page,1
173245,66,TEXT4_page,1
173246,66,T9_page,1
173247,66,T10_page,1
173248,66,T11_page,1
173249,66,FILTER,1
173250,21,RID Group,1
173251,21,Additional demographics,1
173252,21,DEM1,1
173253,21,DEM2,1
173254,21,DEM3,1
173255,21,DEM5,1
173256,21,DEM4,1
173257,21,QUALITY_SO_2_page,1
173258,21,CONTROL_page,1
173259,21,SO_CONTROL_page,1
173260,21,CONTROL2_page,1
173261,21,T1_page,1
173262,21,TEXT1_page,1
173263,21,TEXT2_page,1
173264,21,T2_page,1
173265,21,T3_page,1
173266,21,T4_page,1
173267,21,T5_page,1
173268,21,T6_page,1
173269,21,TEXT3_page,1
173270,21,T7_page,1
173271,21,T8_page,1
173272,21,TEXT4_page,1
173273,21,T9_page,1
173274,21,T10_page,1
173275,21,T11_page,1
173276,21,FILTER_page,1
173304,21,RID Group,1
173305,21,Additional demographics,1
173306,21,DEM1,1
173307,21,DEM2,1
173308,21,DEM3,1
173309,21,DEM5,1
173310,21,DEM4,1
173311,21,QUALITY_SO_2_page,1
173312,21,CONTROL_page,1
173313,21,SO_CONTROL_page,1
173314,21,CONTROL2_page,1
173315,21,T1_page,1
173316,21,TEXT1_page,1
173317,21,TEXT2_page,1
173318,21,T2_page,1
173319,21,T3_page,1
173320,21,T4_page,1
173321,21,T5_page,1
173322,21,T6_page,1
173323,21,TEXT3_page,1
173324,21,T7_page,1
173325,21,T8_page,1
173326,21,TEXT4_page,1
173327,21,T9_page,1
173328,21,T10_page,1
173329,21,T11_page,1
173330,21,FILTER_page,1
173331,21,RID Group,1
173332,21,Additional demographics,1
173333,21,DEM1,1
173334,21,DEM2,1
173335,21,DEM3,1
173336,21,DEM5,1
173337,21,DEM4,1
173338,21,QUALITY_SO_2_page,1
173339,21,CONTROL_page,1
173340,21,SO_CONTROL_page,1
173341,21,CONTROL2_page,1
173342,21,T1_page,1
173343,21,TEXT1_page,1
173344,21,TEXT2_page,1
173345,21,T2_page,1
173346,21,T3_page,1
173347,21,T4_page,1
173348,21,T5_page,1
173349,21,T6_page,1
173350,21,TEXT3_page,1
173351,21,T7_page,1
173352,21,T8_page,1
173353,21,TEXT4_page,1
173354,21,T9_page,1
173355,21,T10_page,1
173356,21,T11_page,1
173357,21,FILTER_page,1
173398,21,RID Group,1
173399,21,Additional demographics,1
173400,21,DEM1,1
173401,21,DEM2,1
173402,21,DEM3,1
173403,21,DEM5,1
173404,21,DEM4,1
173405,21,QUALITY_SO_2_page,1
173406,21,CONTROL_page,1
173407,21,SO_CONTROL_page,1
173408,21,CONTROL2_page,1
173409,21,T1_page,1
173410,21,TEXT1_page,1
173411,21,TEXT2_page,1
173412,21,T2_page,1
173413,21,T3_page,1
173414,21,T4_page,1
173415,21,T5_page,1
173416,21,T6_page,1
173417,21,TEXT3_page,1
173418,21,T7_page,1
173419,21,T8_page,1
173420,21,TEXT4_page,1
173421,21,T9_page,1
173422,21,T10_page,1
173423,21,T11_page,1
173424,21,FILTER_page,1
173425,21,RID Group,1
173426,21,Additional demographics,1
173427,21,DEM1,1
173428,21,DEM2,1
173429,21,DEM3,1
173430,21,DEM5,1
173431,21,DEM4,1
173432,21,QUALITY_SO_2_page,1
173433,21,CONTROL_page,1
173434,21,SO_CONTROL_page,1
173435,21,CONTROL2_page,1
173436,21,T1_page,1
173437,21,TEXT1_page,1
173438,21,TEXT2_page,1
173439,21,T2_page,1
173440,21,T3_page,1
173441,21,T4_page,1
173442,21,T5_page,1
173443,21,T6_page,1
173444,21,TEXT3_page,1
173445,21,T7_page,1
173446,21,T8_page,1
173447,21,TEXT4_page,1
173448,21,T9_page,1
173449,21,T10_page,1
173450,21,T11_page,1
173451,21,FILTER_page,1
173452,21,RID Group,1
173453,21,Additional demographics,1
173454,21,DEM1,1
173455,21,DEM2,1
173456,21,DEM3,1
173457,21,DEM5,1
173458,21,DEM4,1
173459,21,QUALITY_SO_2_page,1
173460,21,CONTROL_page,1
173461,21,SO_CONTROL_page,1
173462,21,CONTROL2_page,1
173463,21,T1_page,1
173464,21,TEXT1_page,1
173465,21,TEXT2_page,1
173466,21,T2_page,1
173467,21,T3_page,1
173468,21,T4_page,1
173469,21,T5_page,1
173470,21,T6_page,1
173471,21,TEXT3_page,1
173472,21,T7_page,1
173473,21,T8_page,1
173474,21,TEXT4_page,1
173475,21,T9_page,1
173476,21,T10_page,1
173477,21,T11_page,1
173478,21,FILTER_page,1
173533,27,RID Group,1
173534,27,Additional demographics,1
173535,27,DEM1,1
173536,27,DEM2,1
173537,27,DEM3,1
173538,27,DEM5,1
173539,27,DEM4,1
173540,27,QUALITY_SO_2_page,1
173541,27,CONTROL_page,1
173542,27,SO_CONTROL_page,1
173543,27,CONTROL2_page,1
173544,27,T1_page,1
173545,27,TEXT1_page,1
173546,27,TEXT2_page,1
173547,27,T2_page,1
173548,27,T3_page,1
173549,27,T4_page,1
173550,27,T5_page,1
173551,27,T6_page,1
173552,27,TEXT3_page,1
173553,27,T7_page,1
173554,27,T8_page,1
173555,27,TEXT4_page,1
173556,27,T9_page,1
173557,27,T10_page,1
173558,27,T11_page,1
173559,27,FILTER_page,1
173560,72,RID Group,1
173561,72,Additional demographics,1
173562,72,DEM1,1
173563,72,DEM2,1
173564,72,DEM3,1
173565,72,DEM5,1
173566,72,DEM4,1
173567,72,QUALITY_SO_2_page,1
173568,72,CONTROL_page,1
173569,72,SO_CONTROL_page,1
173570,72,CONTROL2_page,1
173571,72,T1_page,1
173572,72,TEXT1_page,1
173573,72,TEXT2_page,1
173574,72,T2_page,1
173575,72,T3_page,1
173576,72,T4_page,1
173577,72,T5_page,1
173578,72,T6_page,1
173579,72,TEXT3_page,1
173580,72,T7_page,1
173581,72,T8_page,1
173582,72,TEXT4_page,1
173583,72,T9_page,1
173584,72,T10_page,1
173585,72,T11_page,1
173586,72,FILTER_page,1
173614,41,RID Group,1
173615,41,Additional demographics,1
173616,41,DEM1,1
173617,41,DEM2,1
173618,41,DEM3,1
173619,41,DEM5,1
173620,41,DEM4,1
173621,41,QUALITY_SO_2_page,1
173622,41,CONTROL_page,1
173623,41,SO_CONTROL_page,1
173624,41,CONTROL2_page,1
173625,41,T1_page,1
173626,41,TEXT1_page,1
173627,41,TEXT2_page,1
173628,41,T2_page,1
173629,41,T3_page,1
173630,41,T4_page,1
173631,41,T5_page,1
173632,41,T6_page,1
173633,41,TEXT3_page,1
173634,41,T7_page,1
173635,41,T8_page,1
173636,41,TEXT4_page,1
173637,41,T9_page,1
173638,41,T10_page,1
173639,41,T11_page,1
173640,41,FILTER_page,1
173641,21,RID Group,0
173641,33,RID Group,1
173642,21,Additional demographics,0
173642,33,Additional demographics,1
173643,21,DEM1,0
173643,33,DEM1,1
173644,21,DEM2,0
173644,33,DEM2,1
173645,21,DEM3,0
173645,33,DEM3,1
173646,21,DEM5,0
173646,33,DEM5,1
173647,21,DEM4,0
173647,33,DEM4,1
173648,21,QUALITY_SO_2_page,0
173648,33,QUALITY_SO_2_page,1
173649,21,CONTROL_page,0
173649,33,CONTROL_page,1
173650,21,SO_CONTROL_page,0
173650,33,SO_CONTROL_page,1
173651,21,CONTROL2_page,0
173651,33,CONTROL2_page,1
173652,21,T1_page,0
173652,33,T1_page,1
173653,21,TEXT1_page,0
173653,33,TEXT1_page,1
173654,21,TEXT2_page,0
173654,33,TEXT2_page,1
173655,21,T2_page,0
173655,33,T2_page,1
173656,21,T3_page,0
173656,33,T3_page,1
173657,21,T4_page,0
173657,33,T4_page,1
173658,21,T5_page,0
173658,33,T5_page,1
173659,21,T6_page,0
173659,33,T6_page,1
173660,21,TEXT3_page,0
173660,33,TEXT3_page,1
173661,21,T7_page,0
173661,33,T7_page,1
173662,21,T8_page,0
173662,33,T8_page,1
