question_id,language_id,question,default
1698415,19,GUID,1
1698416,19,Weight,1
1698417,19,Secondary weigh,1
1698418,19,Mobile,1
1698419,19,Tablet,1
1698420,19,Panelist ID,1
1698421,19,Panel Names,1
1698422,19,Postal code,1
1698423,19,Age group,1
1698424,19,Age groups,1
1698425,19,Age group,1
1698426,19,Age group,1
1698427,19,Age group,1
1698428,19,Year of birth,1
1698429,19,Gender,1
1698430,19,Geslacht,1
1698431,19,Leeftijd,1
1698432,19,In welke regio woont u momenteel?,1
1698433,19,Onderwijs,1
1698434,19,Wat is uw jaarlijkse bruto huishoudelijk inkomen?,1
1698435,19,QUALITY_SO_2,1
1698436,19,Welke van de volgende social media gebruikt u regelmatig?,1
1698437,19,SO Control,1
1698438,19,In welk land woont u?,1
1698439,19,Welke van de volgende activiteiten heeft u in de afgelopen 4 weken gedaan?,1
1698440,19,"Dit onderzoek wordt uitgevoerd om te helpen begrijpen hoe mensen de inhoud en de advertentie in verschillende gedrukte, audiovisuele en online media beschouwen.",1
1698441,19,"Bij de volgende vragen wordt u gevraagd om advertenties die op 7 media voorkomen (bijv. televisie, radio, online, kranten) op een aantal verschillende criteria te beoordelen. Er zijn geen goede of verkeerde antwoorden, we zijn alleen geïnteresseerd in uw eerlijke mening",1
1698442,19,Bent u er over het algemeen mee eens of oneens dat,1
1698443,19,Bent u er over het algemeen mee eens of oneens dat,1
1698444,19,"In hoeverre bent u het ermee eens of oneens dat hoe meer u de context vertrouwt waarin een advertentie staat, hoe groter de kans is dat u het geadverteerde product/dienst koopt?",1
1698445,19,In welke mate vertrouwt u dat een op een krant gebaseerde website de gegevens beschermd die u met hen deelt?,1
1698446,19,"De laatste tijd zijn er veel discussies geweest over zogenaamd ""nepnieuws"", waarvan de inhoud een specifiek politiek doel heeft en van twijfelachtige aard is. Zou u zeggen dat nieuws in de media in uw land over het algemeen onbevooroordeeld en betrouwbaar is?",1
1698447,19,Tenslotte willen we graag begrijpen hoe u de betrouwbaarheid van een aantal specifieke merken in de media beoordeelt.,1
1698448,19,Welke van de volgende merken kent u?,1
1698449,19,Hoe betrouwbaar beschouwd u over het algemeen de inhoud en reclame in de volgende media?,1
1698450,19,We zijn met een project bezig over de opvattingen ten opzichte van roken en willen u ook graag een paar vragen stellen over roken en niet voor roken bestemde tabaksproducten.,1
1698451,19,Gebruikt u tegenwoordig regelmatig enige vorm van tabak/tabaksproducten?,1
1698452,19,Vindt u het goed dat overheden het gebruik van sigaretten en andere tabaksproducten in openbare gelegenheden verbieden?,1
1698453,19,Denkt u dat de nieuwe rookwaar/tabaksproducten die als minder gevaarlijk op de markt worden gebracht en zo worden geadverteerd een goede oplossing zijn om de gezondheidsproblemen als gevolg van roken te verminderen?,1
1698454,19,Filter for T8,1
1698455,19,Bebo,1
1698456,19,Facebook,1
1698457,19,FitFinder,1
1698458,19,Flickr,1
1698459,19,Foursquare,1
1698460,19,Google+,1
1698461,19,Instagram,1
1698462,19,LinkedIn,1
1698463,19,Myspace,1
1698464,19,PlanetAll,1
1698465,19,Twitter,1
1698466,19,Yahoo! Mash,1
1698467,19,YouTube,1
1698468,19,Snapchat,1
1698469,19,Andere,1
1698470,19,Ik gebruik social media niet regelmatig,1
1698471,19,Geef ik liever geen antwoord op,1
1698472,19,Een krant gelezen (papieren versie),1
1698473,19,Een op een krant gebaseerde website/app bezocht (online versie),1
1698474,19,Een lokale/regionale krant gelezen of bezocht (papieren- of online versie),1
1698475,19,"Een nieuwsdienst bezocht die alleen online of via een app te lezen is (bijv. op Buzzfeed, Huffington post etc.)",1
1698476,19,Een nieuwszender op TV of via hun website/app bekeken,1
1698477,19,Een commercieel tv-kanaal of betaaltelevisie bekeken,1
1698478,19,Geluisterd naar een commerciële radiozender,1
1698479,19,"Naar gestreamde muziek geluisterd (Spotify, Pandora, Deezer of vergelijkbaar)",1
1698480,19,Een tijdschrift gelezen (papieren versie),1
1698481,19,Een blog gelezen,1
1698482,19,"Door websites of apps gebladerd, anders dan nieuwsgebaseerde websites/apps",1
1698483,19,"Een zoekmachine gebruikt (bijv. Google, Yahoo)",1
1698484,19,"Een social media site gebruikt (bijv. Facebook, Instagram, Twitter, LinkedIn etc.)",1
1698485,19,"Buitenreclame gezien (bijv. billboard, scherm of advertentie bij een bushalte)",1
1698486,19,"Een product of dienst aan een vriend, familielid of collega aanbevolen",1
1698487,19,Een video-advertentie gezien bij het kijken van een online video/video-clip,1
1698488,19,Een film gezien in een bioscoop,1
1698489,19,"Gesproken over een advertentie die u heeft gezien met een vriend, familielid of collega",1
1698490,19,Geen van de bovenstaande,1
1698491,19,de inhoud in een gedrukte krant (papieren versie) betrouwbaar is,1
1698492,19,de inhoud van een op een krant gebaseerde website/app (online versie) betrouwbaar is,1
1698493,19,de inhoud op een commerciële televisiezender of betaaltelevisie betrouwbaar is,1
1698494,19,de inhoud op een commercieel radiostation betrouwbaar is,1
1698495,19,de inhoud van een gedrukt tijdschrift betrouwbaar is,1
1698496,19,de inhoud in een lokale gedrukte krant of online krant betrouwbaar is,1
1698497,19,de inhoud op een pagina van een zoekmachine betrouwbaar is,1
1698498,19,"de inhoud op een social media site (bijv. Facebook, Instagram, Twitter, LinkedIn, etc.) betrouwbaar is",1
1698499,19,de inhoud van een online video/video-clip (bijv. op YouTube) betrouwbaar is,1
1698500,19,de inhoud die u ziet/hoort op een gestreamde radiodienst (bijv. op Spotify) betrouwbaar is,1
